 , C00, C05, C17, C26, C31, C32, C34, C36, C37, C39, C41
Time(s)/Cell Status, undecided, undecided, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
19,0.08982705,0.1131694,0.7577506,0.2387719,0.5747889,0,0.3189873,0.2408074,0.5055989,0,0.2128938
19.1,0.08589903,0.1558825,0.7260988,0.3313596,0.5512138,0,0.3060924,0.2309061,0.4848702,0,0.257206
19.2,0.08214279,0.1491416,0.6957691,0.3177673,0.5286056,0,0.2937187,0.2214119,0.4649913,0,0.2467607
19.3,0.07855079,0.1426922,0.6667063,0.3047325,0.5069247,0,0.2818452,0.2303414,0.4795553,0,0.2367395
19.4,0.1147661,0.1365217,0.708506,0.2922325,0.5624289,0,0.2704517,0.2314164,0.4598943,0,0.2271254
19.5,0.1097475,0.1306181,0.699766,0.2802451,0.5601715,0,0.2741938,0.2219012,0.4410394,0,0.2179016
19.6,0.1049484,0.1249697,0.7162593,0.2687495,0.6017231,0,0.2631096,0.2127773,0.4477816,0,0.2090525
19.7,0.1003592,0.1412172,0.754643,0.3023265,0.5770432,0,0.2524734,0.2657664,0.4294232,0,0.2005627
19.8,0.0959706,0.1351105,0.7483258,0.3023483,0.5533756,0,0.2422673,0.2548389,0.4118176,0,0.1924177
19.9,0.09177393,0.1550319,0.7170676,0.289946,0.5537567,0,0.2324737,0.2443607,0.3949337,0,0.1846035
20,0.08776078,0.1518257,0.6871151,0.2850615,0.5310442,0.009245954,0.223076,0.2343133,0.4067065,0,0.1771066
20.1,0.09715234,0.1452602,0.7187356,0.2733683,0.5247722,0.07421859,0.2140583,0.2585969,0.3900322,0,0.1769304
20.2,0.1080888,0.1479595,0.6887135,0.2636759,0.5032485,0.07881895,0.205405,0.2479642,0.3740415,0,0.1697451
20.3,0.1033622,0.1415612,0.7882391,0.2690113,0.4999291,0.07550491,0.1971016,0.2377687,0.3826459,0,0.2251442
20.4,0.1042213,0.1354396,0.7553138,0.2787848,0.5925301,0.1498072,0.1891338,0.2279923,0.3968855,0,0.216001
20.5,0.09966389,0.1466624,0.7237637,0.2673491,0.6047301,0.2257297,0.1814881,0.218618,0.3806138,0,0.207229
20.6,0.09530572,0.1403202,0.8928907,0.2563825,0.5799268,0.2864189,0.1741515,0.2212977,0.3650092,0,0.1988133
20.7,0.1706739,0.1342523,0.951839,0.2458657,0.556141,0.274376,0.1671115,0.2121986,0.4213623,0,0.1907393
20.8,0.1632105,0.1284468,0.9120799,0.2357804,0.5451437,0.3122807,0.160356,0.2034736,0.4040871,0,0.1829933
20.9,0.1560736,0.1228923,0.8739817,0.2261087,0.5526972,0.3325757,0.1538737,0.1976662,0.3875202,0,0.2235838
21,0.1721792,0.1324449,0.8541898,0.2168338,0.5470089,0.3185921,0.1476534,0.2183077,0.4328403,0,0.2145039
21.1,0.16465,0.1421813,0.8185096,0.2079393,0.5245732,0.4549121,0.1416845,0.2701558,0.4205357,0,0.2057927
21.2,0.1666799,0.148976,0.7843199,0.1994097,0.5234461,0.4597043,0.135957,0.2590478,0.4032944,0,0.1974353
21.3,0.1593912,0.1502665,0.8026754,0.1912299,0.6477842,0.4403754,0.130461,0.2483965,0.38676,0,0.1894173
21.4,0.1524212,0.1437685,0.7968732,0.2111494,0.6212152,0.4218592,0.1251871,0.2381832,0.4318292,0,0.181725
21.5,0.1457561,0.1440952,0.7635871,0.2024881,0.6047245,0.4041215,0.1201265,0.2677461,0.4641278,0,0.1956059
21.6,0.1393823,0.137864,0.766337,0.2233988,0.5799215,0.41352,0.1152704,0.2567371,0.4456638,0,0.2084825
21.7,0.1777286,0.1319023,0.8709034,0.2142351,0.5948097,0.396133,0.1106106,0.2461809,0.4273924,0,0.2000159
21.8,0.1760644,0.1261984,0.8345251,0.2617544,0.6186103,0.4250614,0.1061392,0.2360587,0.4468222,0,0.2007844
21.9,0.1683654,0.126761,0.7996663,0.2510173,0.5932378,0.4466961,0.1018486,0.2263526,0.4285032,0,0.1926304
22,0.18433,0.1212794,0.7662637,0.2407206,0.5689059,0.4279141,0.09773139,0.2296832,0.4109352,0,0.1848075
22.1,0.1915086,0.1209091,0.7342563,0.2308463,0.5635508,0.4099219,0.09378063,0.2202393,0.3940876,0,0.1773024
